"national_inv","lead_time","in_transit_qty","forecast_3_month","forecast_6_month","forecast_9_month","sales_1_month","sales_3_month","sales_6_month","sales_9_month","min_bank","potential_issue.Yes","pieces_past_due","perf_6_month_avg","perf_12_month_avg","local_bo_qty","deck_risk.Yes","oe_constraint.Yes","ppap_risk.Yes","stop_auto_buy.Yes","rev_stop.Yes","went_on_backorder.Yes"
0,8,0,9,14,21,5,17,36,43,0,0,0,0.96,0.98,0,0,0,0,1,0,1
1500,8,0,0,0,0,0,0,0,0,650,0,0,0.93,0.8,0,0,0,0,1,0,0
18,0,0,0,0,0,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0
15,8,0,0,0,0,0,2,6,9,1,0,0,0.98,0.96,0,0,0,0,1,0,0
0,8,0,10,10,20,6,8,15,20,1,0,0,0.75,0.89,0,0,0,0,1,0,1
4996,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
7,4,0,0,0,0,0,0,0,0,0,0,0,0.77,0.8,0,1,0,0,1,0,0
25,12,0,70,70,107,10,31,63,102,2,0,0,0.93,0.94,0,0,0,0,1,0,0
0,12,0,31,31,31,7,15,33,47,2,0,3,0.98,0.98,0,0,0,0,1,0,1
1,9,0,2,2,2,0,6,6,6,0,0,0,0.85,0.83,0,0,0,0,1,0,1
3241,2,2730,3276,6930,9576,1364,3700,7121,10771,1053,0,0,0.97,0.99,0,0,0,1,1,0,0
11,4,0,0,0,0,0,0,0,0,0,0,0,0.77,0.8,0,0,0,0,1,0,0
0,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
7,2,0,0,0,10,1,2,6,11,0,0,0,0.99,0.98,0,0,0,0,1,0,1
55,8,0,216,360,492,30,108,275,340,51,0,0,0,0,0,0,0,1,1,0,1
804,2,0,0,0,0,12,37,94,643,33,0,0,0.33,0.4,0,1,0,0,1,0,0
3,14,0,6,18,24,3,9,12,18,1,0,0,0.99,0.82,0,0,0,0,1,0,1
-34,8,0,120,240,240,83,122,144,165,33,0,0,1,0.97,34,0,0,0,1,0,1
5,4,0,0,15,15,3,5,8,12,0,0,0,0.95,0.94,0,0,0,0,1,0,1
3,2,0,0,6,12,2,8,14,19,0,0,0,0.95,0.97,0,0,0,0,1,0,1
112,8,3,43,43,86,25,72,148,212,38,0,0,0.99,0.99,0,0,0,0,1,0,0
74,8,0,0,0,0,0,0,0,0,2,0,0,0.99,0.98,0,0,0,0,1,0,0
3,8,0,36,64,100,13,34,65,91,0,0,0,0.96,0.94,0,0,0,0,1,0,1
3,0,0,12,26,38,5,16,29,42,1,0,0,0,0,0,0,0,1,0,0,1
13,8,0,12,18,25,1,5,12,23,2,0,0,1,1,0,0,0,0,1,0,0
4,9,0,43,67,115,5,22,40,58,4,0,0,0.69,0.68,0,0,0,0,1,0,1
17,2,0,0,0,0,0,1,3,9,0,0,0,0.66,0.6,0,0,0,0,1,0,0
0,8,0,6,10,14,0,0,0,0,0,0,0,0.96,0.94,0,0,0,0,1,0,1
33,8,24,37,51,86,18,40,94,132,27,0,0,0.79,0.66,0,0,0,0,1,0,1
-1,0,0,26,36,51,8,18,42,52,1,0,0,0,0,1,0,0,0,0,0,1
0,10,0,1,2,2,2,2,3,3,0,0,0,0.89,0.9,0,0,0,0,1,0,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0.96,0.94,0,0,0,0,1,0,1
3,3,0,167,257,347,32,97,176,181,40,0,0,0.42,0.46,0,0,0,0,1,0,1
5,8,0,50,50,100,5,30,44,62,0,0,0,0.96,0.93,0,0,0,0,1,0,1
46,8,0,0,0,0,0,8,24,35,14,0,0,0.33,0.24,0,0,0,0,1,0,0
2,8,0,4,6,9,1,5,6,9,2,0,0,1,0.95,0,0,0,0,1,0,1
6,2,0,28,52,76,7,12,14,14,5,0,0,0.99,0.98,0,0,0,0,1,0,1
-7,8,0,56,96,112,13,30,56,76,0,0,0,0.97,0.92,7,0,0,0,1,0,1
1,2,0,3,5,7,1,2,7,8,0,0,0,0.77,0.82,0,0,0,0,1,0,1
1,8,0,2,4,6,0,2,3,4,0,0,0,0.79,0.66,0,0,0,0,1,0,1
45,8,0,0,0,0,0,1,2,2,2,0,0,0.46,0.35,0,0,0,0,1,0,0
812,12,16,1680,3600,5472,455,1369,2702,4217,193,0,0,1,0.99,0,0,0,0,1,0,0
4,2,0,0,0,0,2,5,5,5,1,0,0,0.69,0.68,0,0,0,0,1,0,1
2,2,0,2,6,8,1,3,6,12,0,0,0,0.99,0.81,0,0,0,0,1,0,1
112,2,0,0,0,0,13,513,513,513,0,0,0,0.86,0.79,0,1,0,0,1,0,1
6,8,0,0,0,1,2,3,6,10,0,0,0,0.97,0.94,0,0,0,0,1,0,0
3,8,0,42,85,107,17,30,53,88,10,0,0,0.15,0.34,0,0,0,0,1,0,1
20,8,17,149,229,309,46,158,343,595,49,0,0,0.71,0.45,0,0,0,0,1,0,0
2,8,0,5,9,13,1,5,8,11,0,0,0,0.84,0.48,0,0,0,1,1,0,1
12,8,1,165,294,412,32,131,256,373,47,0,0,0.87,0.89,0,0,0,0,1,0,1
12,8,0,30,30,30,1,1,4,16,0,0,0,0.99,0.99,0,0,0,0,1,0,1
0,2,0,4,6,8,2,2,5,11,0,0,0,0.6,0.6,0,0,0,0,1,0,1
2,8,0,10,17,24,0,9,12,19,0,0,0,0.2,0.16,0,0,0,0,1,0,1
7,2,0,5,10,15,2,6,15,22,0,0,0,0.99,0.99,0,0,0,0,1,0,1
1,8,0,0,1,1,0,0,1,1,0,0,0,0.78,0.82,0,0,0,0,1,0,0
0,2,0,5,7,7,0,0,0,0,0,0,0,0.69,0.68,0,1,0,0,1,0,1
42,9,0,0,48,96,7,29,46,91,14,0,0,1,0.95,0,0,0,0,1,0,1
68,2,0,0,0,0,1,7,7,7,1,0,0,0.93,0.86,0,1,0,0,1,0,0
2,3,0,0,0,0,0,0,0,0,2,0,0,0.79,0.8,0,0,0,0,1,0,1
1,8,0,2,4,5,1,2,3,6,0,0,0,0.96,0.94,0,0,0,0,1,0,1
2,3,2,5,5,10,0,0,0,0,0,0,0,1,0.99,0,0,0,0,1,0,0
35,2,0,6,18,18,6,10,10,10,0,0,0,1,1,0,1,0,0,1,0,1
0,12,0,1040,1280,1640,111,443,1035,1717,150,0,0,0.77,0.78,20,0,0,0,1,0,1
0,12,0,9,9,9,0,0,0,0,0,0,1,0.63,0.63,0,1,0,1,1,0,0
11,4,0,0,0,0,0,0,0,0,0,0,0,0.77,0.8,0,1,0,0,1,0,0
0,12,0,5,6,9,0,4,5,6,3,0,0,0.69,0.68,0,0,0,0,1,0,1
0,2,0,40,60,60,0,0,0,0,0,0,0,0.26,0.32,0,0,0,0,1,0,1
87,8,0,80,80,160,12,45,86,120,26,0,0,0.99,0.94,0,0,0,0,1,0,0
0,2,0,54,72,72,0,0,0,0,4,0,0,0.67,0.61,0,0,0,1,1,0,1
22,8,0,0,0,0,0,2,2,2,2,0,0,0.94,0.86,0,1,0,0,1,0,0
5,8,0,25,50,75,8,26,39,55,0,0,0,0.98,0.98,0,0,0,0,1,0,1
8,2,0,0,0,0,3,4,8,8,0,0,0,0.56,0.56,0,1,0,0,1,0,1
2,8,0,0,1,2,0,1,1,1,0,0,0,0.82,0.89,0,0,0,0,1,0,1
87,2,0,18,72,108,16,98,173,241,48,0,0,0.77,0.74,0,0,0,0,1,0,1
10686,8,9,0,0,0,18,49,97,145,24,0,0,0.72,0.74,0,0,0,1,1,0,0
5,12,0,0,0,0,0,0,0,0,0,0,0,0.62,0.73,0,0,0,0,1,0,0
1,8,0,3,5,6,1,2,4,6,0,0,0,0.76,0.85,0,0,0,0,1,0,1
1,8,0,3,6,9,2,4,8,10,0,0,0,0.72,0.75,0,0,0,0,1,0,1
7,2,0,9,24,42,7,16,28,32,3,0,0,0.37,0.42,0,0,0,0,1,0,1
339,9,0,131,441,627,66,270,524,855,126,0,0,0.99,0.98,0,0,0,0,1,0,0
14,8,0,112,112,212,45,66,112,153,21,0,0,0,0,0,0,0,0,1,0,1
380,2,0,168,360,576,10,23,25,26,127,0,0,1,1,0,1,0,0,1,0,0
0,12,0,4,7,9,1,3,4,7,0,0,0,0.82,0.79,0,0,0,0,1,0,1
-372,5,5,2416,3766,4866,545,1302,2190,3447,250,0,100,0.69,0.68,412,0,0,0,1,0,1
1,8,0,3,4,4,1,3,4,8,0,0,0,0.79,0.66,0,0,0,0,1,0,1
0,2,0,7,7,7,0,0,0,1,0,0,0,0.1,0.13,0,0,0,0,1,0,1
15,4,7,7,21,28,0,9,10,18,5,0,0,0.79,0.66,0,0,0,0,1,0,1
29,4,0,0,0,0,0,0,0,0,0,0,0,0.77,0.8,0,1,0,0,1,0,0
15,2,0,12,24,36,0,9,16,19,5,0,0,1,0.95,0,0,0,0,1,0,1
0,2,0,32,70,103,0,0,0,0,0,0,0,-99,-99,0,0,0,0,1,0,1
4,3,0,0,3,3,3,6,12,18,0,0,0,0.89,0.9,0,0,0,0,1,0,1
34,0,0,0,0,0,2,9,18,28,3,0,0,0,0,0,0,0,1,0,0,0
3,8,0,26,40,54,4,11,16,25,1,0,0,0.94,0.96,0,0,0,1,1,0,1
0,2,3,3,6,10,0,5,10,11,0,0,0,0.96,0.94,0,0,0,0,1,0,1
151,2,0,58,58,58,0,0,0,0,21,0,0,0.79,0.85,0,1,0,0,1,0,0
0,4,0,5,5,5,0,0,0,0,0,0,0,0.69,0.68,0,1,0,1,1,0,1
4,2,0,0,0,0,0,0,0,6,0,0,0,0.93,0.91,0,0,0,0,1,0,1
9,8,0,40,60,100,18,36,58,102,8,0,0,0.98,0.97,0,0,0,0,1,0,1
1,2,1,3,6,8,1,2,2,2,0,0,0,0.82,0.87,0,0,0,1,1,0,1
1,12,0,1,3,4,4,5,10,16,1,0,0,0.81,0.83,0,0,0,0,1,0,1
2,2,0,151,151,151,0,38,49,49,0,0,108,0,0,0,1,0,0,1,0,0
10,2,0,0,0,0,0,0,0,1,1,0,0,0.9,0.94,0,1,0,0,1,0,0
7,2,0,0,3,6,0,3,7,12,2,0,0,1,0.99,0,0,0,0,1,0,0
2,12,0,5,10,15,2,4,7,13,0,0,0,0.78,0.84,0,0,0,0,1,0,0
0,8,0,25,25,37,40,45,50,84,0,0,0,0.92,0.96,0,0,0,0,1,0,1
26,30,15,0,0,0,2,11,31,52,9,0,0,0.79,0.86,0,0,0,0,1,0,0
48,8,66,3402,5508,7695,1198,2623,4789,6803,611,0,81,-99,-99,84,0,0,0,1,0,1
0,12,0,7,9,11,3,4,6,8,0,0,0,0.82,0.79,0,1,0,0,1,0,1
0,8,0,7,11,15,2,6,12,16,0,0,0,0.99,0.93,0,0,0,0,1,0,1
2,8,0,2,5,7,2,4,4,8,0,0,0,1,0.97,0,0,0,0,1,0,1
796,8,166,2370,4830,7080,707,2529,5156,8157,664,0,0,1,0.99,0,0,0,1,1,0,0
2,3,0,10,15,20,4,10,15,23,0,0,0,0.89,0.9,0,0,0,0,1,0,1
34,9,0,0,10,20,2,9,20,44,1,0,0,1,0.95,0,0,0,0,1,0,1
4,12,0,0,0,0,2,4,8,10,15,0,0,0.59,0.59,0,1,0,0,1,0,1
7,8,0,0,0,0,1,1,2,3,0,0,0,1,0.98,0,0,0,0,1,0,1
0,9,0,9711,17237,19958,0,0,0,0,675,0,0,0.49,0.72,0,1,0,1,1,0,1
0,4,0,4,4,4,0,0,1,3,1,0,0,0.69,0.68,0,0,0,1,1,0,1
132,8,2,50,50,100,8,21,43,234,22,0,0,1,0.89,0,0,0,0,1,0,0
2,12,0,0,0,0,0,0,0,0,0,0,0,0.82,0.79,0,0,0,0,1,0,0
1,8,1,104,104,104,2,6,17,18,15,0,0,0.96,0.98,0,0,0,1,1,0,1
100,8,0,500,750,750,175,302,497,832,0,0,0,0.64,0.8,0,0,0,0,1,0,1
2,8,0,1,2,4,1,2,9,11,1,0,0,0.99,0.98,0,0,0,0,1,0,1
17,2,0,0,0,0,0,1,4,6,0,0,0,0.96,0.93,0,0,0,0,1,0,0
-1,2,0,28,42,42,13,16,24,35,10,0,0,0.99,0.9,1,0,0,0,1,0,1
0,2,0,6,12,15,2,9,13,18,0,0,0,0.98,0.95,0,0,0,0,1,0,1
1,8,0,2,3,4,1,1,2,4,0,0,1,0,0,0,0,0,0,1,0,1
8,2,0,1,4,4,0,0,0,0,1,0,0,0.59,0.59,0,1,0,1,1,0,1
7,2,0,0,0,50,1,4,5,5,1,0,0,0.79,0.85,0,0,0,0,1,0,1
1,2,0,72,144,228,6,12,13,13,0,0,8,0.87,0.68,0,1,0,0,1,0,1
5,3,0,5,8,8,4,4,4,4,0,0,0,0.5,0.39,0,1,0,1,1,0,1
0,2,0,352,442,442,0,0,2,2,62,0,0,0.88,0.74,0,0,0,0,1,0,1
0,2,0,1200,2112,2864,0,0,0,0,136,0,0,0.92,0.79,0,0,0,1,0,0,1
0,8,0,0,0,0,0,0,0,0,0,0,0,0.93,0.92,0,0,0,1,1,0,0
11,2,0,0,0,0,1,2,3,5,0,0,0,0.94,0.97,0,0,0,0,1,0,0
152,8,3,260,500,780,59,209,476,703,83,0,0,0.68,0.58,0,0,0,0,1,0,0
58,8,1,30,90,120,6,29,74,110,40,0,0,0.29,0.43,0,0,0,0,1,0,0
0,2,0,4,7,8,0,0,0,0,0,0,0,0.46,0.35,0,0,0,1,1,0,1
12,8,0,16,24,32,2,11,15,16,0,0,0,0.94,0.91,0,0,0,0,1,0,0
9,2,0,24,48,72,4,22,56,78,2,0,0,0.98,0.82,0,0,0,0,1,0,1
10,2,0,8,28,51,6,27,71,82,0,0,0,0.97,0.8,0,0,0,0,1,0,1
1,2,0,0,1,2,0,0,0,0,1,0,0,0.91,0.93,0,0,0,0,1,0,1
0,2,0,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
1,8,0,10,10,10,2,10,17,20,2,0,0,0.99,0.99,0,0,0,0,1,0,1
6,12,0,0,0,0,0,2,2,4,0,0,0,0.89,0.9,0,0,0,0,1,0,0
84,8,0,0,0,0,2,4,7,12,1,0,0,0.99,0.93,0,1,0,1,1,0,0
76,2,0,0,0,0,0,0,0,1,0,0,0,1,0.96,0,0,0,0,1,0,0
-30,8,0,360,360,540,0,110,398,773,125,0,0,0.15,0.15,30,0,0,0,1,0,1
21,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
6,8,0,24,48,72,9,34,59,73,6,0,0,0.97,0.94,0,0,0,0,1,0,1
2,12,0,10,10,10,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0,1
2,8,0,8,19,26,4,7,15,21,2,0,0,0.99,0.97,0,0,0,0,1,0,1
160,9,0,0,0,0,10,22,35,47,6,0,0,1,1,0,0,0,0,1,0,0
119,5,0,51,51,102,5,19,45,119,23,0,0,0.87,0.59,0,0,0,0,1,0,0
39,2,0,0,0,0,62,196,282,328,67,0,0,1,0.99,0,0,0,0,1,0,1
2,3,0,0,1,2,0,0,1,1,0,0,0,0.69,0.68,0,0,0,0,1,0,1
1,9,0,0,0,0,0,0,1,1,1,0,0,0.34,0.41,0,0,0,0,1,0,0
5,4,1,35,73,107,13,33,70,75,0,0,0,0.84,0.9,0,0,0,0,1,0,1
7,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
1163,8,526,1935,4135,7215,1033,4071,8317,11955,987,0,0,0.94,0.86,0,0,0,0,1,0,0
11,4,0,0,0,0,7,12,44,44,0,0,0,0.79,0.66,0,1,0,1,1,0,1
0,2,0,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
4,8,0,4,12,16,6,12,15,15,0,0,0,0.61,0.62,0,0,0,1,1,0,1
0,8,0,3,5,7,0,2,4,5,1,0,0,0.84,0.78,0,0,0,1,1,0,1
42,2,0,0,0,0,1,1,1,3,0,0,0,0.24,0.49,0,1,0,0,1,0,0
816,4,130,600,1200,1800,209,532,1001,1551,191,0,0,0.97,0.98,0,0,0,0,1,0,0
2,9,0,0,0,0,0,0,0,1,0,0,0,0.99,0.99,0,0,0,0,1,0,0
3,12,0,4,10,12,2,5,15,21,0,0,0,0.64,0.69,0,0,0,0,1,0,1
2,8,0,25,45,63,7,26,47,64,0,0,4,0.48,0.53,0,0,0,0,1,0,1
36,4,1,20,40,50,3,14,39,63,6,0,0,0.82,0.91,0,0,0,0,1,0,0
3,8,0,0,0,0,0,2,3,3,3,0,0,0.9,0.88,0,0,0,0,1,0,0
11,2,0,6,12,18,4,19,25,30,0,0,0,0.31,0.34,0,1,0,0,1,0,1
0,12,0,163,197,231,0,52,112,162,0,0,0,0.73,0.69,0,0,0,0,1,0,1
2,2,0,0,0,0,3,10,22,23,2,0,0,-99,-99,0,0,0,0,1,0,1
926,8,0,0,0,0,1,2,7,13,0,0,0,-99,-99,0,0,0,0,1,0,0
374,15,229,0,0,0,40,161,330,517,55,0,0,0.33,0.52,0,0,0,1,1,0,0
4,8,1,20,30,42,9,19,40,60,10,0,2,0.24,0.47,0,0,0,0,1,0,1
3,8,0,0,0,0,1,1,3,3,0,0,0,0.25,0.39,0,1,0,1,1,0,0
2,8,3,9,15,21,3,11,16,28,6,0,0,1,0.99,0,0,0,0,1,0,1
24,2,0,33,66,132,16,49,84,127,4,0,0,0.99,0.97,0,0,0,0,1,0,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0.89,0.88,0,0,0,0,1,0,0
96,8,5,290,514,668,45,197,465,791,89,0,18,0.23,0.23,0,0,0,0,1,0,1
11,2,0,0,0,0,1,2,3,3,0,0,0,0.99,0.98,0,0,0,0,1,0,1
12,2,0,24,72,96,6,22,39,55,4,0,0,0.46,0.35,0,0,0,0,1,0,1
2,2,0,0,0,0,1,3,6,6,0,0,0,0.98,0.95,0,1,0,0,1,0,1
0,9,0,12,12,12,0,0,2,6,1,0,0,0.99,0.98,0,0,0,0,1,0,1
6,8,7,14,29,44,14,26,50,66,4,0,0,0.51,0.41,0,0,0,0,1,0,1
0,2,0,11,20,24,0,0,0,0,0,0,8,0.7,0.75,0,0,0,1,1,0,1
1,12,0,1,1,2,0,1,1,1,0,0,0,0.73,0.69,0,0,0,0,1,0,0
7,2,0,6,12,20,2,6,27,48,0,0,0,1,1,0,0,0,0,1,0,1
1,8,0,4,5,6,2,4,6,9,0,0,0,0.15,0.34,0,0,0,0,1,0,1
16,12,0,0,0,0,0,2,4,8,0,0,0,0.62,0.73,0,0,0,0,1,0,0
7,12,0,0,0,0,1,2,2,2,1,0,0,0.63,0.63,0,1,0,0,1,0,0
0,9,0,3,4,5,0,2,2,2,0,0,0,1,0.99,0,0,0,0,1,0,1
7,2,0,0,0,2,0,0,0,1,0,0,0,0.9,0.92,0,0,0,0,1,0,0
314,52,1,0,0,0,27,91,147,239,34,0,0,0,0,0,1,0,0,1,0,0
1,12,0,0,0,0,0,0,0,0,0,0,0,0.73,0.69,0,0,0,0,1,0,0
9,8,0,65,65,65,36,114,173,202,62,0,0,0.98,0.97,0,0,0,0,1,0,1
45,8,1,147,266,387,31,105,219,354,80,1,9,0.87,0.89,0,0,0,1,1,0,1
1,8,0,48,72,120,12,26,56,76,0,0,0,0.98,0.88,0,0,0,0,1,0,1
9,8,0,6,12,18,2,6,12,16,0,0,0,0.95,0.9,0,0,0,0,1,0,1
0,8,0,70,100,100,0,0,0,0,13,0,0,0.81,0.88,0,0,0,1,1,0,1
39,9,11,18,48,88,7,26,57,78,0,0,0,0.91,0.74,0,0,0,0,1,0,0
1,3,0,3,5,9,1,3,5,8,0,0,0,0.99,0.98,0,0,0,0,1,0,1
184,8,0,0,0,0,8,11,55,104,8,0,0,-99,0.39,0,0,0,0,1,0,0
0,2,0,11,20,24,0,0,0,0,0,0,0,0.64,0.67,0,1,0,1,1,0,1
0,3,0,26,39,52,9,23,40,53,0,0,0,0.5,0.39,0,0,0,0,1,0,1
1,12,0,29,60,80,5,36,53,97,10,0,0,0.83,0.75,0,0,0,0,1,0,1
0,12,7,480,768,1008,252,423,649,916,73,0,0,0.98,0.96,52,0,0,0,1,0,1
9,2,0,0,0,0,0,1,1,1,1,0,0,1,0.8,0,1,0,0,1,0,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0.87,0.84,0,0,0,0,1,0,0
12,2,0,0,0,0,1,1,1,1,0,0,0,0.11,0.16,0,1,0,0,1,0,0
10,2,6,2,5,5,0,0,0,0,2,0,0,0.37,0.42,0,0,0,0,1,0,1
0,2,0,11,11,11,0,0,0,0,0,0,0,0.12,0.12,0,1,0,0,1,0,1
36,8,0,0,0,0,4,13,29,32,2,0,0,0.84,0.9,0,0,0,0,1,0,0
1,9,5,17,25,32,2,6,6,6,0,0,0,0.91,0.74,0,1,0,0,1,0,1
150,8,0,325,625,1225,196,438,949,1243,0,0,0,0.99,0.93,0,0,0,0,1,0,1
0,4,0,12,18,18,0,0,0,0,0,0,0,0.82,0.78,0,1,0,1,1,0,1
1,8,0,0,0,0,0,0,1,2,0,0,0,0.7,0.75,0,1,0,0,1,0,0
8,8,0,43,49,82,8,30,59,85,7,0,0,0.15,0.34,0,0,0,0,1,0,1
0,12,0,5,7,7,0,0,0,1,0,0,0,0.62,0.73,0,1,0,0,1,0,1
1,8,0,3,5,7,2,3,5,7,2,0,0,0.93,0.96,0,0,0,0,1,0,0
0,9,0,9,10,12,1,4,6,10,0,0,0,0.69,0.68,0,0,0,0,1,0,1
-3,4,0,29,40,51,7,13,19,19,0,0,0,0.79,0.66,3,1,0,0,1,0,1
2,12,0,0,0,0,0,0,0,1,0,0,0,0.73,0.69,0,0,0,0,1,0,1
3,2,0,0,0,0,1,1,1,1,1,0,0,0.99,0.99,0,1,0,0,0,0,1
3,3,0,16,16,16,1,3,6,7,0,0,0,0.98,0.99,0,0,0,0,1,0,1
-1,52,0,0,0,0,2,7,14,23,1,0,0,0.91,0.9,1,1,0,1,0,0,1
3,4,0,0,0,0,0,0,0,0,0,0,0,0.69,0.68,0,1,0,0,1,0,0
11,8,6,49,93,137,9,89,173,234,13,0,0,0.69,0.68,0,0,0,0,1,0,1
28,52,0,10,10,10,0,0,3,7,0,0,0,0.75,0.57,0,1,0,0,0,0,0
34,8,0,33,66,99,11,28,65,100,1,0,0,0.95,0.91,0,0,0,0,1,0,0
1,8,0,2,2,3,0,1,2,3,0,0,0,0.96,0.94,0,0,0,0,1,0,0
293,12,108,1000,1800,2500,259,838,1605,2556,250,0,0,0.96,0.86,0,0,0,1,1,0,0
-3,16,0,13,28,28,4,11,14,20,2,0,0,0.61,0.62,3,1,0,1,1,0,1
12,8,0,0,0,0,0,0,1,1,0,0,0,0.93,0.96,0,0,0,0,1,0,0
0,8,0,3,7,16,5,15,25,31,1,0,0,0.98,0.98,0,0,0,0,1,0,1
7,8,0,0,0,0,0,0,0,3,0,0,0,0.96,0.82,0,0,0,0,1,0,0
-3,12,0,3,3,3,3,4,4,4,0,0,0,0.62,0.73,3,0,0,0,1,0,1
10,2,0,0,0,0,0,0,0,0,2,0,0,0,0.09,0,1,0,1,1,0,1
0,2,0,1,1,1,0,0,0,0,0,0,0,0.31,0.34,0,1,0,0,1,0,1
